Year,Species,Date,Plot,Sex,Weight (g),,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/16/2013,2,F,null,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/16/2013,7,M,33,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/16/2013,3,M,null,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/16/2013,1,M,null,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/18/2013,3,M,40,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/18/2013,7,M,48,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/18/2013,4,F,29,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/18/2013,6,F,37,,,,,,,,,,,,,,,,,,,,,,
2013,DO,8/19/2013,8,F,52,,,,,,,,,,,,,,,,,,,,,,
2013,DO,10/17/2013,3,F,33,,,,,,,,,,,,,,,,,,,,,,
2013,DO,10/17/2013,3,F,50,,,,,,,,,,,,,,,,,,,,,,
2013,DO,12/10/2013,9,F,40,,,,,,,,,,,,,,,,,,,,,,
2013,DO,12/10/2013,1,M,45,,,,,,,,,,,,,,,,,,,,,,
2013,DO,12/11/2013,8,F,41,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/12/2013,9,F,117,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/13/2013,11,F,126,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/13/2013,17,M,null,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/13/2013,14,F,null,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/13/2013,11,F,122,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/13/2013,4,F,107,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/13/2013,4,F,115,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/9/2014,1,M,40,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/9/2014,1,F,36,,,,,,,,,,,,,,,,,,,,,,
2014,DM,3/13/2014,1,F,51,,,,,,,,,,,,,,,,,,,,,,
2014,DM,3/13/2014,1,F,44,,,,,,,,,,,,,,,,,,,,,,
2014,DS,3/13/2014,1,F,146,,,,,,,,,,,,,,,,,,,,,,
2014,NA,1/8/2014,2,,,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/8/2014,2,M,44,,,,,,,,,,,,,,,,,,,,,,
2014,PF,1/8/2014,2,F,7,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/8/2014,2,M,45,,,,,,,,,,,,,,,,,,,,,,
2014,OT,1/8/2014,2,null,null,,,,,,,,,,,,,,,,,,,,,,
2014,DS,1/8/2014,2,M,null,,,,,,,,,,,,,,,,,,,,,,
2014,OX,1/8/2014,2,null,null,,,,,,,,,,,,,,,,,,,,,,
2014,NA,2/18/2014,2,M,null,,,,,,,,,,,,,,,,,,,,,,
2014,PF,2/18/2014,2,F,7,,,,,,,,,,,,,,,,,,,,,,
2014,DM,2/18/2014,2,M,52,,,,,,,,,,,,,,,,,,,,,,
2014,PF,3/11/2014,3,M,8,,,,,,,,,,,,,,,,,,,,,,
2014,NA,4/8/2014,3,F,null,,,,,,,,,,,,,,,,,,,,,,
2014,,5/6/2014,3,null,null,,,,,,,,,,,,,,,,,,,,,,
2014,NA,5/18/2014,3,F,182,,,,,,,,,,,,,,,,,,,,,,
2014,OT,6/9/2014,3,F,29,,,,,,,,,,,,,,,,,,,,,,
2014,NA,7/8/2014,3,F,115,,,,,,,,,,,,,,,,,,,,,,
2014,NA,7/8/2014,3,M,190,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/8/2014,4,F,37,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/8/2014,4,M,null,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/8/2014,4,F,48,,,,,,,,,,,,,,,,,,,,,,
2014,DO,1/8/2014,4,M,52,,,,,,,,,,,,,,,,,,,,,,
2014,OL,1/8/2014,4,M,35,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
